,Steming,Label
50,redam gejolak akibat indonesia batal tuan rumah piala dunia imbas turun populeritas partai muncul cerita ancam teroris negeri coba takut nakuti rakyat ckckckck,negatif
51,akibat batal piala dunia timnas resmi bubar berat hati undang panitia piala dunia memberitahukan tim bubar,positif
52,ketua pssi aku tidur urus piala dunia upaya maksimal turnamen junior level dunia batal laksana batal ajar,positif
53,amat komunikasi politik universitas esa unggul jamiluddin ritonga nilai ketua pssi erick thohir raih dampak positif polemik piala dunia persepsi positif masyarakat,positif
54,ketua pssi erick thohir yakin selesai tantang masalah sepak bola indonesia gagal tuan rumah piala dunia sumber daya koneksi tahu gigantik dunia olahraga milik,negatif
55,layak pimpin indonesiabaru pilih ketua pssi bukti tidak mampu jadi indonesia tuan rumah piala dunia,negatif
56,balik politik batal piala dunia indonesia ni luh,netral
57,menandatangani commitment israel masuk tim laga piala dunia,positif
58,ajar ambil gagal piala dunia gelar indonesia kuat mental konsisten ucap pantang lelaki tarik jilat omong muda jilat,negatif
59,pssi bicara sanksi batal helat piala dunia ni luh,netral
60,piala dunia venomena gunung es mana sadar politik indobesia matangdewasa niat dukung palestina menutuskan hubung israel indonesia bantu palestina mengorbankqn,positif
61,politikus pdip adi napitupulu gubernur jawa ganjar pranowo gubernur bal wayan koster ambil putus gelar piala dunia indonesia,netral
62,ganjar konsekuen tuju indonesia aju bidding host piala dunia tolak ganjar muat politik elektoral hadap milu,negatif
63,merdeka institute for public opinion survey mipos rilis survei baru kait elektabilitas tokoh nasional gadang gadang ikut kontestasi pilih presiden pasca batal indonesia tuan rumah helat piala dunia rabu,netral
64,ganjar konsekuen tuju indonesia aju bidding host piala dunia prabowo subianto,positif
65,pasca batal indonesia tuan rumah helat piala dunia rabu prabowo subianto,netral
66,gamau nyampur adu politik sepakbola israel lolos piala dunia juni mana suara tolak hadir israel ituukenapa sekarangkenapa mepet,negatif
67,lepas nyata ganjar piala dunia pikir ganjar salah calon baik anies puan,negatif
68,tum pssi erick thohir sepak bola indonesia bangkit batal tuan rumah piala dunia erick sepak bola gari indonesia nikmat,positif
69,vanue piala dunia menteri pupr basuki batal piala dunia stadion infrastruktur,positif
71,surat koster takut peristiwa bom bal trigger cabut indonesia tuan rumah indonesia nilai jamin aman piala dunia,positif
72,prediksi meleset komentar ganjar piala dunia elektabilitas anies moncer,negatif
73,pssi jalan pikir tolak israel piala dunia,negatif
74,aman alas indonesia batal tuan rumah kepada tum pssi indonesia sbghostamp hca jamin aman piala dunia putus tinggi fifa terima,positif
75,inti salah pasal syarat fifa sepakbola murni batas olahraga intervensi perintah ajang piala dunia satu anak pelbagai bangsa main bola peduli agama politik,netral
76,isu piala dunia pengaruh elektabilitas ganjar prabowo atas,positif
77,maaf bintang burung garuda juara piala dunia,positif
78,ganjar pranowo gubernur dapat ngaruh batal indonesia tuan rumah piala dunia,negatif
79,erick thohir batal indonesia tuan rumah piala dunia akibat fifa intervensi gelar piala dunia simak bahas youtube kompastv,netral
80,alam enak piala dunia uji dewasa sepak bola indonesia tatap,negatif
81,survei mipos elektabilitas ganjar turun polemik piala dunia,netral
82,simak obrol lengkap gaspol tajuk pdi tolak israel piala dunia takut jokowi makzul youtube,negatif
83,hasto kompas tv bicara lobi politik laku kait piala dunia khawatir penolakn ancam aman timnas israel main indonesia bahkn khawatir potensi ujung impeachment terhadp pemerintahn jokowi,negatif
84,prediksi meleset komentar ganjar piala dunia elektabilitas anies moncer untung oleh anies tari nari caci maki ganjar konsekuensi ceroboh ganjar pranowo sikap,negatif
85,makzul ancam basi hasto skenario buruk israel main piala dunia indonesia halaman,negatif
86,empati persib bobotoh gagal indonesia gelar piala dunia,positif
87,suporter tuntut politis maaf batal piala dunia,positif
88,berat hati undang panitia piala dunia sepak bola memberitahukan tim bubar jadi bangsa dewasa sikap tindak ketua pssi,positif
89,sekjen pdi khawatir jokowi makzul timnas israel main piala dunia indonesia live premiere april wib youtube,positif
91,pdip ogah salah buntut batal piala dunia puan maharani seram banget gagal,negatif
93,berita gin piala dunia jalan,positif
94,piala dunia batal ganjar terobos,positif
95,alhamdulillah piala dunia batal gelar indonesia indonesia aman,positif
97,sampe pildun nyata bawa indonesia piala dunia senior kek panjang kontrak disodorin,positif
98,sepak bola indonesia bangkit batal tuan rumah piala dunia turut sepak bola gari indonesia nikmat,positif
99,fifaamppssiindonesia tuan rumah piala dunia siap sebelumnyasemoga ythtuan gianni menunujuk indonesia,positif
100,harap sepakbola nasional bangkit paska batal piala dunia bangkit percaya cinta sepakbola komunitas kuat respon,positif
101,klik bola gol berita kini temu main timnas presiden jokowi polri tentara pns batal piala dunia ancam karir,negatif
102,situs resmi fifa batal gelar piala dunia indonesia alas situasi kini tanah air putus dampak ekonomi indonesia,netral
104,breking berita ekonomi halo civitas iesp federasi sepak bola internasional fifa resmi batal indonesia tuan rumah piala dunia,negatif
105,ikut kontestasi pilih presiden pasca batal indonesia tuan rumah helat piala dunia rabu,netral
106,pasca batal indonesia tuan rumah helat piala dunia rabu,netral
107,piala dunia indonesia,netral
108,erick thohir batal indonesia tuan rumah piala dunia akibat fifa intervensi gelar piala dunia simak bahas premiere,netral
109,temu main timnas presiden jokowi polri tentara pns batal piala dunia ancam karir,negatif
111,polemik tolak drawing piala dunia bal gubbali terjadinah genap tolak israel world beach games inimau malu nkri kah mata dunia,negatif
112,gadang gadang ikut kontestasi pilih presiden pasca batal indonesia tuan rumah helat piala dunia rabu,netral
113,prediksi amat meleset komentar ganjar piala dunia elektabilitas anies moncer,negatif
114,paksa erick thohir paksa indonesia tuan rumah piala dunia batal,negatif
115,partai ormas kepala daerah lupa piala dunia penting bangsa atas penting kemlu aku batal gelar kepada dampak citra ri mata dunia,positif
116,erick thohir batal indonesia tuan rumah piala dunia akibat fifa intervensi gelar piala dunia simak bahas premiere malam pkl wib,netral
117,batal indonesia tuan rumah piala dunia tum pssi tinggal diam beliau percaya solusi benah sepak bola indonesia,positif
118,pokok tolak nyata ganjar gagal rencana piala dunia bentuk sikap pimpin lindung bangsa,positif
119,ketua dpp pdipandreas hugo pareira cari kambing hitam gagal indonesia tuan rumah piala dunia gagal sebab selenggara arogansi jumawa catat,negatif
120,media israel jerusalem post kritik indonesia tolak hadir israel duga sebab fifa coret status tuan rumah piala dunia simak berita lengkap viral,negatif
121,piala dunia jujur coba tebak,positif
122,kaca alam piala dunia menpora depan komunikasi kolaboratif hubung stakeholder beda titik temu menpora dito ariotedjo,netral
123,selamat bpk menpora moga bantu pssi bangkit semangat garuda muda gagal tampil ajang piala dunia,positif
124,bayang piala dunia masuk banget,positif
125,dukung gubernur maju pilpres alir akun media sosial serbu netizen imbas indonesia batal tuan rumah piala dunia deklarasi dukung bazar ramadan ganjar pranowo pasuruan,positif
126,gonjang ganjing pildun sadar dpr sahkan perpu milu undang undang keren banget wakil rakyat landa sedih piala dunia kerja keras rakyat,negatif
127,ketua tum pssi erick thohir sepak bola indonesia bangkit batal tuan rumah piala dunia turut sepak bola gari indonesia nikmat,positif
128,ganjar pranowo tuding sebab gagal indonesia tuan rumah piala dunia,negatif
131,momen perdana tatap muka pasca situasi panas polemik piala dunia mbah slamet odyssey amanda ria sw luka kante,netral
132,bukti salah murni pssi kurang informasi israel piala dunia,negatif
133,fifa council meeting shanghai china november indonesia dapet bidding host piala dunia juni israel sukses lolos piala dunia kasi minim literasi,positif
134,ketua dpr ri puan maharani aku sedih kecewa indonesia coret federasi sepak bola dunia fifa tuan rumah piala dunia,negatif
135,sedih dalam rasa tim libat selenggara piala dunia sdgkan ketua pssi usaha maksimal lobi fifa bangkit moga ajar,positif
136,kaya pssi lobi lobi pssi selenggara piala dunia infrastruktur selesai,negatif
137,tum pssi erick thohir bhw mslh aman alas indonesia batal tuan rumah piala dunia kontrak indonesia sbghostamp hca indonesia jamin aman piala dunia putus tinggi ttp fifa,positif
138,batal piala dunia pandang beda let keep all of the argument just in my mind,negatif
139,malu piala dunia batal pindah wayan koster tolak kontingen israel anoc world beach games kes konsisten sesuai arah pdip iya bang,negatif
140,wali kota solo gibran rakabuming raka seteru gubernur jawa ganjar pranowo gelar piala dunia indonesia ganjar gibran temu selesai,negatif
141,puji rakyat negara arab indonesia kait piala dunia hormat,positif
142,survei capres mipos piala dunia batal ganjar terjun bebas peringkat prabowo subianto anies baswedan ganjar pranowo,positif
143,waduuh lorot urut ganjar piala dunia survei capres mipos pildun ri batal ganjar lorot urut,positif
144,survei capres mipos piala dunia batal ganjar terjun bebas,positif
145,tuan rumah piala dunia anulir fifa artikel lengkap,netral
146,informasi jatuh sanksi fifa indonesia kait batal drawing selenggara helat piala dunia dipertanggungjawabkan benar,negatif
147,klarifikasi ganjar pranowo perihal batal lnya piala dunia indonesia,netral
148,ganjar percaya hasil piala dunia pssi lobi fifa beliau serah erick thohir,positif
149,pakar politik nilai tolak pdi juang hadir timnas israel piala dunia dulang naik elektabilitas partai ganjar pranowo,positif
150,ganjar pikir terobos piala dunia selenggara daya wewenang penting israel batal selenggara piala dunia indonesia,negatif
151,piala dunia indonesia jalan fifa pilih tindak batal indonesia tuan rumah,negatif
152,balik nyata ganjar beliau terobos fifa piala dunia jalan,netral
153,kait batal piala dunia indonesia bela tim nasional indonesia ego nmax presiden mbah slamet ria sw thailand,netral
154,btlnya indonesia tuan rumah piala dunia clear bukn infrastruktur langsung exco pssi arya sinulingga,positif
155,hujat masyarakat kait piala dunia gubernur jateng ganjar pranowo jalan tugas ganjar ecek baik jalan jepara keling kece siap arus mudik lebaran,netral
156,erick thohir jadiin piala dunia panggung cawapres,netral
157,ganjar pranowo curhatan punggawa timnas gagal piala dunia serah nmax fadil jaidi mbah slamet lipa odyssey demokrat margot robbie kante her header sore ria sw pledis,negatif
158,pssi bubar timnas indonesia tum pssi erick thohir batal piala dunia uji berat sepak bola indonesia moga dewasa,positif
159,fifa coret israel piala dunia indonesia ganti cek fakta,positif
160,penggawa timnas tulis kecewa batal piala dunia indonesia kolom komentar instagram gubernur jateng ganjar pranowo tanggap ganjar baca komentar,negatif
161,alas ganjar tolak hadir timnas israel piala dunia,negatif
162,batal piala dunia indonesia jadi cinta sepakbola pendam kecewa dalam tum pssi ajak cinta sepakbola bangun semangat komunitas kuat respons,positif
163,pks sudah main cawe belaga kecewa piala dunia batal belang partai ideologi pks pks berangan orng taudari,negatif
164,clear piala dunia batal indonesia nasib hokky caraka dkk jamin bagus,positif
165,well piala dunia putar duit bagus bisnis ane rencana bagus pas fifa sesuai jadwal gara gara free palestine tai kucing bangsat rencana batal,negatif
166,ganjar paham betapa sedih beliau adik adik timnas indonesia gagal main piala dunia salah ganjar,negatif
167,usaha baik selenggara piala dunia,positif
168,bukti ganjar timnas main piala dunia fifa tiada timnas israel cabut indonesia tuan rumah piala dunia,negatif
169,hati ganjar timnas indonesia main piala dunia murni putus fifa adil,negatif
170,luas hati ganjar maaf main timnas gagal main piala dunia beliau sebab gagal putus fifa,negatif
171,akibat polemik masyarakat hilang sempat harga saksi laga piala dunia halaman rumah mimpi main timnas muda indonesia laga piala dunia dadak sirna,positif
172,serah piala dunia mari bukti piala dunia,netral
173,terang benderang adu dapat presiden jokowi pdip selenggara piala dunia tolak penting orang,positif
174,tangan politis mabuk politik elektoral sepak bola indonesia sulit kembang batal piala dunia contoh,negatif
175,jokowi jamin dukung palestina putus hadir israel piala dunia mencampuradukkan urus olahraga politik,positif
176,alih alih terima syarat fifa umum batal indonesia tuan rumah piala dunia siap sanksi indonesia,positif
177,organisasi islam tentang hadir israel piala dunia mui tolak datang main timnas israel negara langgar ham ambil alih tanah milik warga palestina,negatif
178,koster teken host city agreement fifa isi jamin aman diskriminasi kontestan piala dunia,positif
179,ketua pdip megawati soekarnoputri kader tolak hadir timnas israel piala dunia,negatif
180,mipos rilis elektabilitas parpol piala dunia indonesia batal pdip posisi atas elektabilitasnya turun,negatif
181,megawati uji politik ganjar koster tolak timnas israel piala dunia,negatif
182,presiden ri jamin bidding tuan rumah piala dunia diskriminasi salah poin isi surat presiden ri agustus,negatif
183,puan maharani piala dunia batal indonesia beda dapat,netral
184,komentar sarkas ganjar piala dunia hokky caraka asik tertawa bareng gubernur clear,positif
185,indonesia gagal tuan rumah piala dunia politik sama olah raga politik olah raga junjung sportifitas politik,negatif
187,ganjar tanda tangan komitmen sedia tuan rumah piala dunia,negatif
188,ganjar pranowo curhatan punggawa timnas gagal piala dunia serah demokrat mbah slamet moana lipa ria sw menpora kante luka sore margot robbie billboard jinyoung nmax rabu,negatif
189,main timnas indonesia hokky caraka damai gubernur jawa ganjar pranowo kait batal piala dunia tanah air,positif
190,gubernur bal tunggu arah presiden jokowi kait atlet israel ferdinand hutahaean indikasi jebak ganjar pranowo sesal piala dunia,negatif
194,ketua pssi sepak bola indonesia bangkit batal tuan rumahpiala dunia sepak bola gari indonesia nikmat,positif
195,dosen hi ub malang batal host piala dunia kredibilitas indonesia mata internasional turun kait batal indonesia tuan rumah piala dunia dosen hubung via,netral
197,ganjar menandatangani country host guarantee city host guarantee kait piala dunia beda nyata jokowi propinsi kota tanda tangan ganjar sesal nyata,positif
198,cek fakta fifa coret israel piala dunia nyaman,netral
199,milu piala dunia game changer pilpres prabowo subianto kuat tribun gorontalo,positif
200,ganjar menandatangani country host city host guarantee piala dunia jokowi propinsi kota tanda tangan aneh ganjar sesal nyata,positif
201,spntsnyalah merosotttt rakyat kecewa piala dunia elektabilitas ganjar merosot peringkat,negatif
202,beda jokowi sikap thd piala dunia hormat olahraga rawat damai jg pupuk musuh kpd generasi muda israel kenal olahraga angkat senjata,positif
203,anies laut eh ganjar tenggelam akibat blunder piala dunia hahahamampus,negatif
204,ganjar menandatangani country host city host guarantee piala dunia beda nyata jokowi propinsi kota tanda tangan ganjar ban menandatangani apa ganjar sesal,positif
207,mending gin sotoy drpd ngegagalin piala dunia kemarin masuk kerja besok promosi dunia main baik dunia hahahaha bullshit,positif
208,salut banget ganjar pranowo maaf langsung main timnas gagal main piala dunia,negatif
209,menteri pupr basuki hadimuljono arsitektural gbk penuh standar selenggara piala dunia,netral
210,sepakbola politik anti kolonialisme ulas piala dunia,netral
212,merdeka institute for public opinion survey mipos rilis survei baru kait elektabilitas tokoh tokoh nasional gadang gadang ikut kontestasi pilih presiden pasca batal indonesia tuan rumah helat piala dunia,netral
213,ganjar sesal tolak israel piala dunia indonesia putus ambil,negatif
214,pdip singgung anies baswedan diam timnas israel piala dunia denny siregar hasto mangap abis baca twitnya bodat hahahaha,positif
215,wali kota solo gibran rakabuming raka isi temu gubernur jateng ganjar pranowo salah satu move on masalah batal piala dunia indonesia he he he,netral
216,bos kalteng putra agustiar sabran tum pssi tinggal diam indonesia batal tuan rumah piala dunia percaya menteri bumn solusi baik,positif
217,mipos rilis elektabilitas capres piala dunia indonesia batal elektabilitas ganjar lorot lontar nyata tolak timnas israel,negatif
218,harga upaya dedikasi main staf timnas siap piala dunia keras hasil positif,positif
219,coba proses negosiasi jalan lancar belit belit lancar helat piala dunia indonesia,positif
220,fifa milik kendali penuh putus selenggara piala dunia upaya temu solusi,positif
221,koar koar piala dunia batal,netral
222,akibat batal piala dunia indonesia hilang percaya fifa organisasi olahraga dunia dunia internasional sulit indonesia aju tuan rumah event kelas dunia,negatif
223,orang rasa sakit hatinyakalo usaha lebar kaykk kena prank watch sakit hati shin tae yong respon piala dunia batal indonesia breaking news tvone on youtube,negatif
224,waketum pssi nasib calon main naturalisasi komunikasi batal piala dunia indonesia nasib main muda siap tampil juara tahun,positif
225,dampak dari batal piala dunia main official kepada umkm dukung selenggara piala dunia produksi merchandise rugi laku umkm,positif
226,wali kota solo gibran rakabuming raka seteru gubernur jawa ganjar pranowo gelar piala dunia indonesia,netral
227,gubernur jawa ganjar pranowo dorong piala dunia indonesia selenggara timnas israel,positif
228,walikota solo gibran rakabuming minta maaf polemik batal piala dunia indonesia gubernur jawa ganjar pranowo salah,negatif
229,striker timnas indonesia hokky caraka sumringah temu gubernur jawa ganjar pranowo clear kait kecewa perihal gagal tampil piala dunia,negatif
230,balik kecewa dalam gagal tuan rumah piala dunia bangga sikap hina manusia dunia,negatif
231,gibran menandatangani komitmen sedia tuan rumah piala dunia gubernur jawa ganjar pranowo ganjar gibran tanda tangan komitmen sedia tuan rumah piala dunia klik baca,positif
232,event ipu kibar bendera israel putar lagu bangsa saksi siar tv piala dunia kibar bendera langgar permenlu hina negara,negatif
233,suporter goblog otak bisa ribut mulu fifa batalin piala dunia untung ribut kali otak diginakan atuh,negatif
234,temu striker timnas indonesia hokky caraka gubernur jawa ganjar pranowo doa baik main kecewa akibat gagal tampil piala dunia indonesia,negatif
235,depan buka publik ambisi depan tuan rumah piala dunia benah,negatif
237,momen perdana tatap muka pasca situasi panas polemik piala dunia meisya moana ria sw billboard taekook windah mbah slamet,netral
238,dubes israel sayang piala dunia ri batal gegara sabotase politik,negatif
239,presiden jokowi lapor tum pssi erick thohir indonesia batal tuan rumah piala dunia jokowi sedih putus salah full video youtube,positif
241,batal indonesia tuan rumah piala dunia catat duka rakyat indonesia paguyuban suporter timnas indonesia psti jujur pssi tum erick thohir kait batal indonesia tuan rumah piala dunia,positif
242,ramadhan negara jajah israel aksi serang jamaah mesjid al aqsha jelang piala dunia tetep main,negatif
243,ketua pssi erick thohir papar proposal peta biru garuda dunia fifa meminimalisir sanksi fifa susul indonesia coret tuan rumah piala dunia,netral
244,fifa resmi batal indonesia tuan rumah piala dunia putus fifa tim nasional timnas masyarakat indonesia kecewa,negatif
245,piala dunia level timnasnya juara aff kemarin bima sakti oke amal,positif
246,syarat ganjal indonesia indonesia tunggu jelas nasib kait ancam sanksi fifa gagal selenggara piala dunia,negatif
247,mundur peru peluang indonesia rebut status tuan rumah piala dunia indonesia batal gelar piala dunia cabut status host fifa,positif
248,breking berita ekonomi halo civitas iesp federasi sepak bola internasional fifa resmi batal indonesia tuan rumah piala dunia situs resmi rabu fifa batal gelar piala,netral
249,kubur mimpi dukung timnas piala dunia bantu mimpi karir masuk usaha jawa bolak masuk cv tikung orang,positif
251,gagal indonesia tuan rumah piala dunia fifa kecewa main timnas masyarakat indonesia desas desus iring bincang kait ramai,negatif
252,dosen fisip bicara dosen hubung internasional radityo dharmaputra rcess int ma angkat bicara kait batal indonesia tuan rumah piala dunia fifa video lengkap cek ig,netral
253,kemlu ri batal piala dunia,netral
254,tum pssi sepak bola indonesia bangkit cinta sepak bola tanah air kuat alam berat piala dunia harap dewasa,positif
257,batal gelar lanyalla transparansi dana piala dunia,netral
258,kualifikasi modal tuan rumah kelas asean babk bunyak hantam thailand wajar jokowi sedih messi cs lahir piala dunia fifa,negatif
259,parah ganjar pranowo sesal sebab piala dunia ubatal,negatif
260,liga lanjut hasil sepakat serta link piala dunia batal sampeyan besok kasih ilustrasi peku insinuatif banget tanya,positif
261,milu piala dunia game changer pilpres prabowo kuat tribun gorontalo,positif
262,keliru video ganjar pranowo wayan koster copot jabat imbas gagal piala dunia,negatif
263,perintah harap fifa sanksi indonesia pasca batal tuan rumah piala dunia,positif
264,pro kontra piala dunia cakap populer warganet januari maret,positif
265,simak berita lengkap rugi indonesia dampak batal tuan rumah piala dunia,negatif
266,batal piala dunia indonesia ajar mahal,positif
267,partai solidaritas indonesia psi indonesia rugi imateril batal tuan rumah piala dunia fifa,positif
268,ketimbang kritik pdip hasto nilai ade armando kritik anies baswedan diam polemik timnas israel piala dunia,negatif
269,wapres perintah wacana event ganti piala dunia,netral
270,piala dunia batal panitia terima sertifikat harga,positif
271,gubernur jawa ganjar pranowo sesal putus tolak partisipasi timnas israel piala dunia gelar indonesia,negatif
273,arifki manuver ganjar tolak timnas israel piala dunia cengang prabowosubianto,negatif
274,wali kota solo gibran rakabuming raka seteru gubernur jawa ganjar pranowo gelar piala dunia indonesia maaf beda dapat ganjar pranowo,positif
275,fifa batal hak tuan rumah piala dunia instagram ganjar pranowo serbu netizen kecewa punggawa timnas indonesia curah isi hati instagram ganjar,negatif
276,gubernur jawa ganjar pranomo maaf anggap salah sebab gagal indonesia tuan rumah piala dunia ganjar pranowo salah tokoh tolak datang israel indonesia laga piala duania,negatif
277,untung indonesia batal host piala dunia bulan tim israel,negatif
278,maruf amin perintah tanding piala dunia fokus bina,netral
279,faktor keamananfifa nilai indonesia tuan rumah piala dunia,positif
280,heran putus fifa batal piala dunia indonesia indonesia segi infrastruktur aman,negatif
281,hi byigadir salken menurutlu piala dunia batal indonesia,positif
282,skuad timnas gagal piala dunia masuk polri kategori talent scouting,netral
284,tito lupa gagal piala dunia fokus sea games,negatif
285,indonesia coret tuan rumah piala dunia perintah siap event tanding,netral
286,jurnalis inggris fifa batal indonesia tuan rumah piala dunia ketidaklayakan lapang,negatif
287,legenda timnas mesir mohamed aboutrika puji indonesia coret tuan rumah piala dunia hujat putus fifa,positif
288,faktor aman fifa batal piala dunia indonesia,positif
289,perintah gelontor rp miliar baik stadion indonesia batal tuan rumah piala dunia,netral
290,isu baru teroris barusan tangkap potensi rusak aman jelang piala dunia andai gelar bang,negatif
291,main piala dunia doang kah mimpi main timnas juang kejar mimpi mimpi,positif
292,momen akrab temu striker timnas hokky caraka temu heboh putus fifa batal indonesia tuan rumah piala dunia,negatif
293,gw ganjar pranowo hancur mimpi timnas bangkit tunjuk lolos piala dunia jalur tuan rumah,positif
294,gagal indonesia gelar piala dunia pengaruh renovasi stadion manah solo proyek batal lanjut,negatif
295,israel buka suara timnas tolak ri piala dunia baca lengkap,negatif
296,hizbullah puji indonesia tolak tim israel piala dunia hizbullah puji indonesia tolak partisipasi tim sepak bola israel piala dunia rencana gelar indonesia mei,positif
297,sepak bola indonesia pasti bangkit puruk batal tuan rumahpiala dunia laku sepak bola bahu bahu kuat,positif
298,wali kota solo gibran rakabuming raka seteru gubernur jawa ganjar pranowo gelar piala dunia indonesia ganjar gibran temu selesai maaf,positif
299,oh yaa sebab juara piala dunia sulit wujud negara,positif
300,optimis sepakbola nasional bangkit paska batal piala dunia cinta sepakbola komunitas kuat respon,positif
301,tuju kesalahpahaman akibat batal laksana piala dunia indonesia,negatif
303,mohamad rezky utama batal status indonesia tuan rumah piala dunia dapat kait cabut status tuan rumah indonesia coba tulis kolom komentar,positif
304,fifa resmi cabut status tuan rumah indonesia piala dunia sikap batal duga kait erat tolak tim nasional israel tragedi kanjuruhan mari simak dapat geradi yudhistira gustri eni putri,negatif
305,minta maaf ganjar batal piala dunia rudi valinka maaf sali buat,positif
306,pssi operator piala dunia indonesia batal fifa buka batal indonesia tuan rumah jadi intropeksi ajar cari salah,negatif
307,piala dunia batal pssi cari kambing hitam,negatif
308,gagal indonesia tuan rumah piala dunia ajar pssi kait cari kambing hitam,positif
309,piala dunia pssi langgar atur,negatif
310,gubernur jawa ganjar pranowo aku menandatangani komitmen sedia tuan rumah piala dunia siapa ganjar tanda tangan apa ganjar kutip akun youtube najwa shihab selasa,positif
