Text,Label
"apakah untuk meredam gejolak akibat Indonesia batal jadi tuan rumah piala dunia u-20 yang berimbas pada menurunnya populeritas partai maka mulai dimunculkan cerita ancaman teroris dari luar negeri ?
coba menakut-nakuti rakyat ?
ckckckck
#timnasu20 #isuteroris #indonesia https://t.co/wg4vxXmt9i",negatif
"Akibat pembatalan piala Dunia U20, maka timnas U-20 secara resmi dibubarkan. ""Hari ini, dengan berat hati, saya mengundang seluruh panitia Piala Dunia U-20 2023 untuk memberitahukan bahwa tim ini saya bubarkan."" @erickthohir 

#GueBarengErickThohir https://t.co/QOA6PTUtpG",positif
"Ketua Umum PSSI @erickthohir mengaku kurang tidur karena mengurus Piala Dunia U-20 2023. Upaya maksimal sudah dilakukan namun turnamen junior level dunia itu batal terlaksana.
Pembatalan ini merupakan pelajaran untuk banyak pihak. 

#GueBarengErickThohir https://t.co/KqbuQmqPoM",positif
"Pengamat komunikasi politik dari dari Universitas Esa Unggul Jamiluddin Ritonga menilai, Ketua Umum PSSI Erick Thohir meraih dampak positif dari polemik Piala Dunia U-20.

Pak @erickthohir mendapat persepsi positif oleh sebagian masyarakat. 

#GueBarengErickThohir https://t.co/idtRsrdHpN",positif
"Ketua Umum PSSI Erick Thohir diyakini mampu menyelesaikan tantangan dan permasalahan sepak bola Indonesia setelah gagal menjadi tuan rumah piala dunia U- 20. Melihat sumber daya koneksi dan pengetahuan gigantik soal dunia olahraga yg dimiliki @erickthohir

#GueBarengErickThohir https://t.co/DflPZXFYsK",negatif
"@jawapos Tdk layak jadi pemimpin Indonesia,baru aja terpilih jadi ketua PSSI sdh membuktikan ketidak mampuannya menjadikan Indonesia tuan rumah piala dunia u.20",negatif
Dibalik Politik &amp; Batalnya Piala Dunia U-20 Di Indonesia | NI LUH https://t.co/odV5x4zGD1,netral
"@SantorinisSun @StefanAntonio__ @RomeoWalker19 @Sgrdamai @alextham878 @PSSI di tahun 2021, saat mereka menandatangani commitment, ISRAEL belum masuk tim yang akan berlaga di  Piala Dunia U-20",positif
"Pelajaran yang bisa di ambil dari gagalnya piala dunia U-20 di gelar di indonesia adalah memperkuat mental , konsisten dengan apa yg di ucapkan karna pantang bagi seorang lelaki menarik atau menjilat kembali apa yg sudah di omongkan

MASIH MUDA UDAH JADI PENJILAT CHUAAAAKZZZZZ",negatif
PSSI Bicara Sanksi Batalnya Perhelatan Piala Dunia U-20 | NI LUH https://t.co/sDcSVi32Tl,netral
@AltoLuger Bagi saya dalam kasus piala dunia u-20 merupakan venomena gunung-es dimana dalam hal kesadaran politik indobesia belum matang/dewasa. Berniat mendukung palestina tidak harus dgn menutuskan hubungan dgn israel . Bagaimana indonesia dpt membantu palestina tanpa mengorbankqn diri?,positif
"Politikus PDIP Adian Napitupulu menegaskan Gubernur Jawa Tengah Ganjar Pranowo dan Gubernur Bali I Wayan Koster bukan pengambil keputusan soal gelaran Piala Dunia U-20 2023 di Indonesia.

https://t.co/iw3FquxYYy",netral
"Diantaranya, Ganjar tidak konsekuen karena sebelumnya telah setuju saat Indonesia mengajukan bidding menjadi host Piala Dunia U-20. Kedua, penolakan Ganjar lebih bermuatan politik elektoral menghadapi Pemilu 2024",negatif
"Merdeka Institute for Public Opinion Survey (MIPOS) merilis survei terbaru terkait elektabilitas tokoh nasional yg digadang-gadang akan mengikuti kontestasi Pemilihan Presiden2024 mendatang, pasca batalnya Indonesia menjadi tuan rumah perhelatan Piala Dunia U-20, Rabu (5/4/2023).",netral
"Di antaranya, Ganjar tidak konsekuen karena sebelumnya telah setuju saat Indonesia mengajukan bidding menjadi host Piala Dunia U-20. 

#RakyatPilihPrabowo
#BangkitBersama 
Prabowo Subianto",positif
"pasca batalnya Indonesia menjadi tuan rumah pada perhelatan Piala Dunia U-20, Rabu (5/4/2023).

#RakyatPilihPrabowo
#BangkitBersama 
Prabowo Subianto",netral
"@HusinShihab @JonathanRegulus @Pejabatbola @CoachJustinL @PSSI karna dari awal kan gamau nyampur adukan politik dan sepakbola, lagian Israel itu lolos piala dunia u-20 dari juni 2022, kemana suara yg menolak kehadiran Israel waktu ituu??kenapa baru sekarang???kenapa harus mepet??",negatif
"@has_meliala Sama🙏 terlepas dari pernyataan pak Ganjar mengenai piala dunia U 20,, saya juga berpikir saat ini pak Ganjar msh menjadi salah satu calon yg terbaik,, no Anies no puan no yg lain2🙂",negatif
"Ketum PSSI  Erick Thohir yakin sepak bola Indonesia akan segera bangkit usai batal jadi tuan rumah Piala Dunia U-20 2023.
Sebab, menurut Erick, sepak bola sangat digemari di Indonesia dan punya banyak penikmat.

@erickthohir
#GueBarengErickThohir https://t.co/ZvZe0KMBdA",positif
"Dipastikan Vanue piala Dunia U-20 sudah siap 100% seperti di sampai kan menteri PUPR pak basuki, jadi pembatalan piala Dunia U-20 bukan karena masalah stadion atau infrastruktur. 

#BangkitBersamaET 
@erickthohir https://t.co/ShrHwuAsfJ",positif
"Bukan Cuma soal Piala Dunia U-20, Ini Sederet Pernyataan dan Kebijakan Ganjar Pranowo yang Tuai Kontroversi https://t.co/G0RqymmQ8O",netral
"@FenisiaPhoenix Dlm surat Koster menyebutkan rasa takutnya dgn peristiwa Bom Bali, ini menjadi trigger dicabutnya Indonesia menjadi tuan rumah.

Indonesia dinilai tdk mampu menjamin keamanan Piala Dunia U-20",positif
"Prediksi Tak Meleset, Komentar Ganjar Soal Piala Dunia U-20 Membuat Elektabilitas Anies Moncer 
https://t.co/PHxlACjvaN",negatif
@ayydafryanti PSSI juga perlu dipertanyakan Kenapa tidak sejalan pikirannya untuk menolak Israel di piala dunia u-20,negatif
"Keamanan menjadi alasan Indonesia batal menjadi tuan rumah PD U-20 hal tersebut di sampaikan oleh  Ketum PSSI @erickthohir.

Indonesia sbg host &amp; HCA  menjamin keamanan selama Piala Dunia U-20. Namun keputusan tertinggi ada di FIFA dan kita hrs menerima
#GueBarengErickThohir https://t.co/VlPBlyr6ku",positif
Intinya dalam salah satu pasal persyaratan ikut FIFA itu bahwa sepakbola ini hanya murni sebatas olahraga jangan ada Intervensi dari pihak pemerintah. ajang piala dunia U-20 sebagai pemersatu anak dari pelbagai bangsa yang hanya mau bermain bola tanpa pedulikan agama atau politik,netral
"Isu Piala Dunia U-20 Pengaruhi Elektabilitas Ganjar, Prabowo Teratas #elektabilitasGanjar https://t.co/rzaRIzpZr8",positif
"@PolJokesID Maaf, kalau boleh tahu itu bintang di atas burung Garuda itu artinya apa ya? Apakah pernah juara Piala Dunia U-20?",positif
"@nurrohmah___ @ganjarpranowo Memang pak Ganjar Pranowo ini hanya seorang gubernur, pendapatnya tidak ngaruh apa apa terhadap batalnya Indonesia menjadi tuan rumah Piala Dunia U-20",negatif
"Erick Thohir mengatakan pembatalan Indonesia sebagai Tuan Rumah Piala Dunia U-20 diakibatkan karena FIFA melihat adanya intervensi terhadap gelaran Piala Dunia. Kok bisa? 

Simak pembahasan #LiviOnPoint di YouTube KompasTV!

▶️https://t.co/faTFfg2KAJ https://t.co/HNEXzFnur7",netral
"Pengalaman yg sangat tidak mengenakkan Piala Dunia U-20 harus bisa jadi ujian mendewasakan sepak bola Indonesia utk menatap masa depan

@erickthohir 
#GueBarengErickThohir https://t.co/iy1G59SbKg",negatif
"Survei MIPOS ungkap elektabilitas Ganjar turun usai polemik Piala Dunia U-20

https://t.co/4zjWBsRh1S https://t.co/uYvSrQkiBy",netral
"Simak obrolan selengkapnya di Gaspol! https://t.co/IFtupwtBCQ bertajuk PDI-P Tolak Israel di Piala Dunia U-20, Takut Jokowi Dimakzulkan?, di Youtube https://t.co/IFtupwtBCQ!
https://t.co/4s0k2qcMvK",negatif
"Pak Hasto di Kompas TV bicara soal lobi politik yg dilakukannya terkait Piala Dunia U-20. Ada kekhawatiran penolakn hingga ancaman keamanan bila Timnas Israel sampai bermain di Indonesia. Bahkn, kekhawatiran tersebut berpotensi berujung pada impeachment terhadp pemerintahn Jokowi https://t.co/A8fnDoHGtH",negatif
"Prediksi Tak Meleset, Komentar Ganjar Soal Piala Dunia U-20 Membuat Elektabilitas Anies Moncer.

Keuntungan yg diperoleh Anies itu bkn krn menari-nari di atas caci maki terhadap Ganjar. Tapi, lanjut dia, konsekuensi cerobohnya Ganjar Pranowo dlm bersikap.
https://t.co/9jKOzg1TxH",negatif
"Pemakzulan? Ancaman basi..

Hasto Ungkap Skenario Terburuk jika Israel Main di Piala Dunia U-20 di Indonesia - Halaman 1 https://t.co/y5wmZUNmhL",negatif
"Empati Persib dan Bobotoh Atas Kegagalan Indonesia Gelar Piala Dunia U-20

https://t.co/vIjCCYLkvZ",positif
"Suporter Tuntut Politisi Minta Maaf Atas Batalnya Piala Dunia U-20
  https://t.co/jTqEWO3De3",positif
"#GueBarengErickThohir 
#SlmCinta 

Dengan berat hati, mengundang seluruh panitia piala dunia sepak bola U-20 
memberitahukan 

      "" Tim ini dibubarkan "" 

Ini menjadikan bangsa ini lebih dewasa dalam bersikap dan bertindak

         Ketua Umum PSSI 
              @erickthohir https://t.co/k7a2zBX3Xk",positif
"Sekjen PDI-P ungkap kekhawatiran Jokowi dimakzulkan bila Timnas Israel main di Piala Dunia U-20 Indonesia.

LIVE PREMIERE
📆 5 April 2023
⏰ 19.00 WIB
📍 Youtube @kompascom
https://t.co/YDhquNLY9c

#JernihMelihatDunia #GaspolKompascom #FIFA #FIFAU20 #P… https://t.co/PqTSSNUdyO",positif
"Sekjen PDI-P ungkap kekhawatiran Jokowi dimakzulkan bila Timnas Israel main di Piala Dunia U-20 Indonesia

LIVE PREMIERE
📆 5 April 2023
⏰ 19.00 WIB
📍 Youtube @kompascom

#JernihMelihatDunia https://t.co/sQng15JwYP",positif
"PDIP Ogah Disalahkan Buntut Batalnya Piala Dunia U-20, Puan Maharani: Waduh Seram Banget kalau Menggagalkan https://t.co/LHZalcCh3Q #PDIP #PialaDuniaU-20 #PuanMaharani",negatif
"Erick Thohir mengatakan pembatalan Indonesia sebagai Tuan Rumah Piala Dunia U-20 diakibatkan karena FIFA melihat adanya intervensi terhadap gelaran Piala Dunia. Kok bisa? 

Simak pembahasan #LiviOnPoint di YouTube KompasTV!

▶️https://t.co/faTFfg2KAJ https://t.co/OmhbUJSXst",netral
"Ada berita gini, apabila piala dunia u-20 jalan terus, apa yang akan dilakukan kira-kira?",positif
"Piala Dunia U-20 2023 Dibatalkan, Ganjar: Harusnya Ada Terobosan 
https://t.co/ICKhFFgQsN",positif
"@Jelli_cent Alhamdulillah Piala Dunia U-20 batal digelar di Indonesia, Indonesia aman",positif
"Erick Thohir mengatakan pembatalan Indonesia sebagai Tuan Rumah Piala Dunia U-20 diakibatkan karena FIFA melihat adanya intervensi terhadap gelaran Piala Dunia. Kok bisa? 

Simak pembahasan #LiviOnPoint di YouTube KompasTV!

▶️https://t.co/faTFfg3iqh https://t.co/0RY1XfB97c",netral
"@fanopermanaa @aw_yena @UpdateBolabola harusnya sampe pildun u-20, tapi kalo dari pernyataannya yang mau bawa Indonesia ke piala dunia senior keknya dia mau aja perpanjang kontrak kalo disodorin",positif
"@erickthohir yakin sepak bola Indonesia akan segera bangkit usai batal jadi tuan rumah Piala Dunia U-20 2023. Sebab, menurutnya, sepak bola sangat digemari di Indonesia dan punya banyak penikmat.

#GueBarengErickThohir 
https://t.co/TUzds69rHq https://t.co/U3Qybxo2Xk",positif
FIFA&amp;PSSI:Indonesia masih siap jadi tuan rumah  piala Dunia u 20.karena persiapan sudah dilakukan jauh hari sebelumnya.semoga yth.Tuan Gianni tetap menunujuk Indonesia,positif
"@erickthohir berharap sepakbola nasional bisa bangkit kembali paska pembatalan Piala Dunia U-20. 
Namun kita yakin kita bisa bangkit kembali.
Kita percaya pecinta sepakbola punya komunitas yang sangat kuat dan respon mereka sangat luar biasa.

#GueBarengErickThohir https://t.co/uFRiKqb1Xh",positif
"Klik https://t.co/wAbXjrVD3S Bola Gol Berita Terkini : Setelah bertemu dengan pemain Timnas U-20, Presiden Jokowi bilang kalau di antara mereka ada yang ingin menjadi Polri, Tentara, atau PNS. Apakah batalnya Piala Dunia sangat mengancam karir mereka?
… https://t.co/EQ7tAyhruP",negatif
"Dalam situs resminya, FIFA menyatakan batal menggelar Piala Dunia U-20 2023 di Indonesia dengan alasan “situasi terkini” di Tanah Air. Keputusan tersebut berdampak bagi Ekonomi Indonesia https://t.co/AYnNRrDPSM",netral
"Di antaranya, Ganjar tidak konsekuen karena sebelumnya telah setuju saat Indonesia mengajukan bidding menjadi host Piala Dunia U-20. Kedua, penolakan Ganjar lebih bermuatan politik elektoral menghadapi Pemilu 2024.",negatif
"[BREKING: Berita Ekonomi Ini Penting]

Halo, Civitas IESP!

Federasi Sepak Bola Internasional (FIFA) resmi membatalkan Indonesia menjadi tuan rumah Piala Dunia U-20 2023. https://t.co/pJbaKto8XW",negatif
"mengikuti kontestasi Pemilihan Presiden 2024 mendatang pasca batalnya Indonesia menjadi tuan rumah pada perhelatan Piala Dunia U-20, Rabu (5/4/2023).",netral
"pasca batalnya Indonesia menjadi tuan rumah pada perhelatan Piala Dunia U-20, Rabu (5/4/2023).",netral
@radenrauf piala dunia u-20 indonesia 2023,netral
"Erick Thohir mengatakan pembatalan Indonesia sebagai Tuan Rumah Piala Dunia U-20 diakibatkan karena FIFA melihat adanya intervensi terhadap gelaran Piala Dunia. Kok bisa? 

Simak pembahasan PREMIERE #LiviOnPoint SEKARANG!

▶️https://t.co/faTFfg3iqh https://t.co/rsux084yAX",netral
"Setelah bertemu dengan pemain Timnas U-20, Presiden Jokowi bilang kalau di antara mereka ada yang ingin menjadi Polri, Tentara, atau PNS. Apakah batalnya Piala Dunia sangat mengancam karir mereka?
https://t.co/LtCgr1syDP https://t.co/eYLjA8Cx2r",negatif
"Sekjen PDI-P ungkap kekhawatiran Jokowi dimakzulkan bila Timnas Israel main di Piala Dunia U-20 Indonesia.

LIVE PREMIERE
📆 5 April 2023
⏰ 19.00 WIB
📍 Youtube @kompascom
https://t.co/b4XCs94tRd

#JernihMelihatDunia #GaspolKompascom #FIFA #FIFAU20 #PialaDunia https://t.co/cL9b5r7iWo",positif
"Polemik soal penolakan Drawing piala dunia U-20 di Bali oleh Pak Gub.Bali belum lama terjadi,nah sekarang malah digenapi dengan penolakan Israel di World Beach Games juga. Ada apa sih semuanya ini??mau permalukan NKRI kah di mata dunia",negatif
"yang digadang-gadang akan mengikuti kontestasi Pemilihan Presiden 2024 mendatang pasca batalnya Indonesia menjadi tuan rumah pada perhelatan Piala Dunia U-20, Rabu (5/4/2023).",netral
"Prediksi Pengamat Tak Meleset, Komentar Ganjar Soal Piala Dunia U-20 Membuat Elektabilitas Anies Moncer  https://t.co/rwTTwTRKdm",negatif
"@RasSaaaaa Memang memaksakan itu tidak baik ya, dan inilah yang terjadi karena Erick Thohir memaksakan Indonesia menjadi tuan rumah Piala Dunia U-20 dan akhirnya batal",negatif
"Ada partai, ormas, kepala daerah lupa bahwa Piala Dunia U20 itu menjadi kepentingan Bangsa yg seharusnya diatas segala kepentingan yg lain . 

Kemlu Akui Batal Gelar PD U-20 Berdampak pada Citra RI di Mata Dunia https://t.co/rHr6QCnJWm",positif
"Erick Thohir mengatakan pembatalan Indonesia sebagai Tuan Rumah Piala Dunia U-20 diakibatkan karena FIFA melihat adanya intervensi terhadap gelaran Piala Dunia. Kok bisa? 

Simak pembahasan PREMIERE #LiviOnPoint malam ini, pkl 20.00 WIB!

▶️https://t.co/faTFfg3iqh https://t.co/Bv1sXh9t98",netral
"Setelah pembatalan Indonesia sbg tuan rumah Piala Dunia U-20, Ketum PSSI @erickthohir tidak akan tinggal diam, beliau dipercaya mempunyai solusi yg mampu membenahi sepak bola Indonesia.

#GueBarengErickThohir https://t.co/j5DwYtrxc7",positif
@GanjaranApp @NajwaShihab @MataNajwa @narasitv Pokoknya kalau saya si merasa penolakan yang di nyatakan oleh Pak Ganjar itu bukan untuk menggagalkan rencana piala dunia U-20. Tapi adalah bentuk sikap pemimpin melindungi bangsa nya,positif
